"","Name","Country","Latitude","Longitude"
"105","Deluti","Bangladesh",22.6165926003966,89.4154129
"106","Dewanganj","Bangladesh",25.1415912002457,89.780017
"107","Dhamoirhat","Bangladesh",25.1559873002445,88.832894
"108","Dhanbari","Bangladesh",24.6774082002845,89.951882
"109","Dhobaura","Bangladesh",25.0975326002496,90.4606544
"110","Dholapara","Bangladesh",24.460735000301,90.0903701
"111","Dighinala","Bangladesh",23.242645700374,92.0667283
"112","Dinajpur","Bangladesh",25.6260712002011,88.6346228
"113","Dohar","Bangladesh",23.6059193003561,90.1335499
"114","Domar","Bangladesh",26.1061930001534,88.8234458
"115","Dowarabazar","Bangladesh",25.0399047002546,91.5718305
"116","Dumki","Bangladesh",22.4602670004006,90.3876818
"117","Dumuria","Bangladesh",22.8163016003906,89.4117044
"118","Dupchachia","Bangladesh",24.869083000269,89.1837301
"119","Elenga","Bangladesh",24.3351648003102,89.9252011
"120","Fakirhat","Bangladesh",22.7753498003919,89.7123646
"121","Faridganj","Bangladesh",23.1282942003789,90.7547958
"122","Fatikchhari","Bangladesh",22.6873648003946,91.7902571
"123","Fenchuganj","Bangladesh",24.6942465002831,91.9392229
"124","Feni","Bangladesh",23.0068186003838,91.3966134
"125","Gabtali","Bangladesh",24.8770229002683,89.4512705
"126","Gaibandha","Bangladesh",25.3315471002287,89.5485082
"127","Gangni","Bangladesh",23.817871200344,88.7497084
"128","Garobazar","Bangladesh",24.5375462002953,90.1336826
"129","Gazaria","Bangladesh",23.5576927003586,90.6523837
"130","Gazipur","Bangladesh",23.998079700333,90.4229848
"131","Ghatail","Bangladesh",24.4781769002998,89.9735137
"132","Ghior","Bangladesh",23.8995885003391,89.8719708
"133","Ghoraghat","Bangladesh",25.2720353002341,89.2538044
"134","Ghoraghat","Bangladesh",25.2660298002347,89.2599561
"135","Gobindaganj","Bangladesh",25.1339117002464,89.3857832
"136","Godagari","Bangladesh",24.4581726003012,88.3285448
"137","Golapganj","Bangladesh",24.85688150027,92.0130004
"138","Gonaighat","Bangladesh",25.0934917002499,91.9829351
"139","Gopalganj","Bangladesh",23.0059418003838,89.8263479
"140","Gopalpur","Bangladesh",24.5638001002933,89.9282608
"141","Gopinathpur","Bangladesh",23.1117118003796,89.7658148
"142","Gouripur","Bangladesh",24.7600679002779,90.5703878
"143","Gournadi","Bangladesh",22.975130300385,90.2309736
"144","Gurudaspur","Bangladesh",24.3679529003078,89.2325129
"145","Habiganj","Bangladesh",24.3858370003065,91.4126358
"146","Haimchar","Bangladesh",23.0966624003802,90.6607486
"147","Hajiganj","Bangladesh",23.2537284003735,90.8528584
"148","Hakimpur","Bangladesh",25.2857531002329,89.0141357
"149","Haluaghat","Bangladesh",25.1222567002474,90.3395618
"150","Hariakunda","Bangladesh",23.6513766003536,89.0487002
"151","Hatiya","Bangladesh",22.2877297004042,91.1265769
"152","Hili","Bangladesh",25.2813175002333,89.0033233
"153","Homna","Bangladesh",23.6938630003512,90.7809834
"154","Hossainpur","Bangladesh",24.4168657003043,90.6553734
"155","Ishurdi","Bangladesh",24.1285847003245,89.0653214
"156","Ishwarganj","Bangladesh",24.6888987002836,90.5965483
"157","Islampur-ইসলামপুর","Bangladesh",25.0549418002533,89.7723463
"158","Itna","Bangladesh",24.5345969002955,91.1122564
"159","Jagannathpur","Bangladesh",24.7819089002761,91.5570227
"160","Jaintiapur","Bangladesh",25.1236482002473,92.1462878
"161","Jakshin","Bangladesh",22.9411578003862,90.8748196
"162","Jalchatro","Bangladesh",24.6461846002869,90.07828
"163","Jaldhaka","Bangladesh",26.0198750001622,89.0168246
"164","Jamalganj","Bangladesh",24.9970512002582,91.232135
"165","Jamalpur","Bangladesh",24.9277076002641,89.9478205
"166","Jashore","Bangladesh",23.1665971003773,89.2095143
"167","Jhalokati","Bangladesh",22.6422107872616,90.1980226909738
"168","Jhalokati","Bangladesh",22.6433000003959,90.2
"169","Jhaudia","Bangladesh",23.7731707003467,89.0613652
"170","Jhenaidah","Bangladesh",23.5448144003593,89.1734196
"171","Jhinaigati","Bangladesh",25.1753084002428,90.106647
"172","Joypurhat","Bangladesh",25.1034476002491,89.0209157
"173","Juraichari","Bangladesh",22.673908100395,92.3811092
"174","Kachua","Bangladesh",22.6499434003957,89.8802356
"175","Kaharole","Bangladesh",25.8043081001838,88.6583776
"176","Kalai","Bangladesh",25.0615044002527,89.1659505
"177","Kalapara","Bangladesh",21.9860055004085,90.2232185
"178","Kalia","Bangladesh",23.0448640003823,89.6305234
"179","Kaliganj","Bangladesh",25.9678732001675,89.2082255
"180","Kaliganj","Bangladesh",23.4079255003663,89.1359615
"181","Kaliganj","Bangladesh",23.4079255003663,89.1359615
"182","Kalihati","Bangladesh",24.3873346003064,89.9948451
"183","Kalkini","Bangladesh",23.078131500381,90.2217374
"184","Kalmakanda","Bangladesh",25.0771586002514,90.8882575
"185","Kamlaghat","Bangladesh",23.569593900358,90.4884633
"186","Karatia","Bangladesh",24.2222679003181,89.9781439
"187","Karimganj","Bangladesh",24.4651227003007,90.8690233
"188","Karpasdanga","Bangladesh",23.5843380003572,88.7065645
"189","Kashiani","Bangladesh",23.2364900003743,89.7204523
"190","Kashinathpur","Bangladesh",23.9582815003355,89.6073642
"191","Katiadi","Bangladesh",24.2502962003162,90.7962218
"192","Kaunia","Bangladesh",25.7733094001868,89.4190381
"193","Kawkhali","Bangladesh",22.6261283003964,90.0592775
"194","Kendua","Bangladesh",24.6617233002857,90.8454168
"195","Khagrachhari","Bangladesh",23.1077999003798,91.9889955
"196","Khaliajuri","Bangladesh",24.6912562002834,91.1411753
"197","Khalishpur","Bangladesh",22.8604213003891,89.5444099
"198","Khoksha","Bangladesh",23.8063883003447,89.2835547
"199","Kishoreganj","Bangladesh",25.8993030001744,89.0169223
"200","Kishoreganj","Bangladesh",24.434128700303,90.7862596
"201","Kochua","Bangladesh",23.3431513003694,90.8910704
"202","Kodomtoli","Bangladesh",24.4180163003042,89.9915809
"203","Komolgonj","Bangladesh",24.3524896003089,91.8555655
"204","Kotchadpur","Bangladesh",23.4118585003661,89.0114841
"205","Kulaura","Bangladesh",24.5226336002964,92.0340732
"206","Kuliarchar","Bangladesh",24.1515066003229,90.9322312
"207","Kumarkhali","Bangladesh",23.8615887003414,89.2413168
"208","Kumira","Bangladesh",22.4973468003997,91.7155129
"209","Kurigram","Bangladesh",25.812137800183,89.6441289
"210","Kutalipara","Bangladesh",22.9920084003843,90.000354
"211","Lakhai","Bangladesh",24.2847975003138,91.2506877
"212","Laksam","Bangladesh",23.2362647003743,91.1198271
"213","Lakshmipur","Bangladesh",22.9444179003861,90.827495
"214","Laliarhut","Bangladesh",22.4252435004014,91.8196079
"215","Lalmohan","Bangladesh",22.3410585004032,90.7334333
"216","Lalmonirhat","Bangladesh",25.9163848001727,89.4461215
"217","Lalpur","Bangladesh",24.1824622003208,88.9565006
"218","Langdu লংগদু","Bangladesh",22.972986700385,92.1984214
"219","Lengra Bazar","Bangladesh",24.488234900299,90.0232055
"220","Lohagora","Bangladesh",23.1881892003764,89.6499065
"221","Lokkhipur","Bangladesh",23.5455465868778,90.6509099016978
"222","Madan","Bangladesh",24.7158634002814,90.9474829
"223","Madaripur","Bangladesh",23.1675473003773,90.2049733
"224","Madhabpur","Bangladesh",24.0957339003266,91.288801
"225","Madhukhali","Bangladesh",23.5434411003594,89.6255061
"226","Madhupur","Bangladesh",24.60716290029,90.0289157
"227","Magura","Bangladesh",23.4883330003622,89.42
"228","Makrai","Bangladesh",24.4761866002999,90.0594535
"229","Manikchari","Bangladesh",22.8586588003891,91.8572832
"230","Manikchari","Bangladesh",22.8495480003895,91.8413206
"231","Manikgonj","Bangladesh",23.8711630003409,89.9987833
"232","Manpura","Bangladesh",22.2306679004052,90.9718951
"233","Mataji hat","Bangladesh",24.9826254002595,88.8394383
"234","Mathbaria","Bangladesh",22.2875917004042,89.9592718
"235","Matiranga","Bangladesh",23.0444506003823,91.8684916
"236","Matlab","Bangladesh",23.3400396003695,90.7106389
"237","Mawa","Bangladesh",23.4744100003629,90.2619739
"238","Mawna","Bangladesh",24.2207489003182,90.4128828
"239","Meghna","Bangladesh",23.6354904003544,90.7035798
"240","Mehendiganj","Bangladesh",22.8232630003903,90.5275969
"241","Mirkadim","Bangladesh",23.5574515003586,90.483075
"242","Mirzaganj","Bangladesh",22.3552874004029,90.2209532
"243","Mithamoin","Bangladesh",24.4149439003044,91.0602879
"244","Mohadebpur","Bangladesh",24.9177354002649,88.7511472
"245","Mohalchari","Bangladesh",22.9360088003864,92.0294073
"246","Mohanganj","Bangladesh",24.8755919002684,90.9771054
"247","Mohanpur","Bangladesh",24.5474589002945,88.6475568
"248","Mollarhat","Bangladesh",22.9291518003867,89.8067005
"249","Mongla","Bangladesh",22.4679228004004,89.6040074
"250","Monohordhi","Bangladesh",24.1419305337567,90.697415598272
"251","Monohorganj","Bangladesh",23.1622810003775,91.0579522
"252","Moulvibazar","Bangladesh",24.487788800299,91.7599173
"253","Muddafarganj","Bangladesh",23.2689425003728,91.0460695
"254","Muksudpur","Bangladesh",23.3146905003707,89.8696769
"255","Muktagacha","Bangladesh",24.7651553002775,90.2583669
"256","Muladi","Bangladesh",22.9132829003872,90.4108006
"257","Mundomala","Bangladesh",24.60593830029,88.4729569
"258","Muradnagar Sadar","Bangladesh",23.6416830809717,90.9265144058542
"259","Nabiganj","Bangladesh",24.567889400293,91.5175418
"260","Nabinagar","Bangladesh",23.88469590034,90.9699944
"261","Nachole","Bangladesh",24.7289037002804,88.4235211
"262","Nagarpur","Bangladesh",24.0532552003294,89.8739848
"263","Nageshwari","Bangladesh",25.9681024001675,89.6895759
"264","Naikhongchari","Bangladesh",21.4308353004096,92.1751782
"265","Nakla","Bangladesh",24.9692199002606,90.1833248
"266","Nalchity","Bangladesh",22.6347382003961,90.2703307
"267","Naldanga","Bangladesh",25.4847385002145,89.4710442
"268","Nalitabari","Bangladesh",25.0896639002503,90.194301
"269","Nandail","Bangladesh",24.5703293002928,90.6866685
"270","Nandigram","Bangladesh",24.657374700286,89.2708646
"271","Nandina","Bangladesh",24.868654000269,90.0368074
"272","Nandir Bazar","Bangladesh",24.9796341002597,89.9687863
"273","Nangalkot","Bangladesh",23.1667749306651,91.197748443294
"274","Nangalkot","Bangladesh",23.1695939003772,91.1981807
"275","Naogaon","Bangladesh",24.807322900274,88.9445447
"276","Narail","Bangladesh",23.1750000003769,89.505
"277","Narsingdi","Bangladesh",23.9156451003381,90.6981963
"278","Narundi","Bangladesh",24.8677555002691,90.1177233
